registered,project,id
2006-11-09 15:02:00,mgmtsc-wu,7
2006-11-23 21:21:00,mar,14
2007-01-15 15:54:00,termstrc,16
2007-01-28 19:20:00,parc,17
2007-01-31 16:02:00,zoo,18
2007-01-31 16:08:00,art,19
2007-02-15 20:23:00,colorspace,20
2007-02-15 20:25:00,fxregime,21
2007-02-20 13:47:00,tsp,22
2007-04-06 17:54:00,heplots,24
2007-04-17 16:45:00,drc,26
2007-04-17 22:46:00,ffi,27
2007-04-20 16:46:00,brew,28
2007-04-21 18:04:00,biclust,29
2007-04-30 23:06:00,timp,31
2007-05-02 14:11:00,erm,33
2007-05-04 11:07:00,site,34
2007-05-19 17:43:00,jmultir,35
2007-05-21 15:55:00,arules,36
2007-06-01 17:07:00,nraia,38
2007-06-08 18:40:00,ctv,39
2007-06-08 18:41:00,fortunes,40
2007-06-11 11:58:00,scatterplot3d,41
2007-06-11 12:04:00,klar,42
2007-06-11 12:08:00,tuner,43
2007-06-15 21:53:00,timpgui,44
2007-06-19 16:46:00,surveillance,45
2007-06-23 07:12:00,pbsmodelling,46
2007-06-24 11:36:00,electricity,47
2007-07-07 17:13:00,mboost,48
2007-07-08 22:21:00,pda,49
2007-08-05 20:10:00,ori,51
2007-08-07 21:13:00,qtldesign,52
2007-08-08 13:42:00,kritterbox,53
2007-08-10 14:33:00,lshorth,54
2007-08-11 05:38:00,twrap,55
2007-08-12 14:32:00,lifetables,56
2007-08-13 19:31:00,loopanalyst,57
2007-08-16 19:14:00,ipsur,58
2007-08-17 17:17:00,robustbase,59
2007-08-17 19:27:00,lme4,60
2007-08-17 19:30:00,matrix,61
2007-08-22 22:08:00,epitools,62
2007-08-23 17:29:00,urca,63
2007-08-23 17:35:00,vars,64
2007-08-28 00:03:00,sparsem,65
2007-09-01 15:52:00,lognorm,67
2007-09-05 15:59:00,vegan,68
2007-09-07 15:38:00,analogue,69
2007-09-07 16:37:00,mcplr,70
2007-09-07 19:22:00,dierckxspline,71
2007-09-08 14:31:00,lifeinsgrsim,72
2007-09-14 16:22:00,rwinedt,73
2007-09-21 16:29:00,pot,76
2007-10-04 23:01:00,applong,77
2007-10-10 01:28:00,psychor,80
2007-10-15 16:31:00,desire,82
2007-10-15 17:55:00,reliability,83
2007-10-19 03:10:00,fints,84
2007-10-22 10:05:00,rhmm,85
2007-11-02 16:28:00,robust,86
2007-11-06 20:55:00,distr,87
2007-11-06 21:07:00,robkalman,88
2007-11-06 21:18:00,robust-ts,89
2007-11-06 23:41:00,circular,90
2007-11-09 16:30:00,chemometrics,91
2007-11-20 21:30:00,radr,92
2007-11-25 10:45:00,biocep,93
2007-11-26 11:11:00,star,94
2007-11-26 13:09:00,rgg,95
2007-11-27 10:48:00,rglp,96
2007-11-28 09:26:00,psm,97
2007-11-29 19:01:00,dtw,98
2007-11-29 21:50:00,bertin,99
2007-12-03 02:31:00,graphicsqc,100
2007-12-03 16:58:00,isogene,101
2007-12-03 17:28:00,mpdir,102
2007-12-04 18:10:00,orbit,103
2007-12-05 07:24:00,phyloc,104
2007-12-06 14:12:00,mstree,105
2007-12-06 14:22:00,covertree,106
2007-12-06 18:43:00,expm,107
2007-12-08 00:51:00,lmdvr,108
2007-12-13 13:59:00,epi,110
2007-12-14 20:17:00,phylobase,111
2007-12-16 21:33:00,sisus,112
2007-12-17 16:44:00,rsymphony,113
2007-12-18 17:28:00,paleots,114
2008-01-01 19:41:00,rquantlib,117
2008-01-03 19:11:00,xts,118
2008-01-05 15:36:00,ttr,119
2008-01-06 18:38:00,adegenet,120
2008-01-08 00:03:00,mefa,121
2008-01-08 17:50:00,splinesurv,122
2008-01-09 18:16:00,prob,124
2008-01-10 20:53:00,quantmod,125
2008-01-14 22:52:00,rbooks,131
2008-01-15 06:11:00,robast,132
2008-01-15 16:18:00,tnet,133
2008-01-16 23:15:00,picante,134
2008-01-18 04:15:00,fda,135
2008-01-23 15:55:00,vwgh,136
2008-01-24 05:49:00,rqda,137
2008-01-29 15:46:00,mpm,138
2008-01-31 16:29:00,caic,140
2008-02-01 23:32:00,seriation,141
2008-02-03 18:52:00,libra,142
2008-02-06 17:41:00,sintro,143
2008-02-08 11:47:00,lpsolve,144
2008-02-20 21:34:00,simecol,146
2008-02-23 15:30:00,cfmdfi,147
2008-02-27 12:12:00,depmix,148
2008-02-28 16:45:00,qualv,149
2008-02-29 18:36:00,uscensus2000,150
2008-03-01 03:02:00,stdt,153
2008-03-01 17:25:00,digest,154
2008-03-01 17:33:00,rcpp,155
2008-03-01 17:55:00,rmetrics,156
2008-03-03 18:53:00,rcsdp,158
2008-03-10 23:00:00,pedigreemm,159
2008-03-12 16:41:00,photonics,160
2008-03-13 16:00:00,ameli,161
2008-03-14 15:49:00,rino,162
2008-03-19 12:10:00,biocep-distrib,163
2008-03-21 17:00:00,survweb,164
2008-03-25 09:10:00,asdar,165
2008-03-26 12:14:00,happy,166
2008-03-26 20:38:00,desolve,167
2008-04-03 15:55:00,statet,168
2008-04-03 22:00:00,mlp,169
2008-04-03 23:30:00,mvtnorm,170
2008-04-03 23:32:00,multcomp,171
2008-04-08 16:26:00,hkey,173
2008-04-09 16:27:00,limsolve,174
2008-04-10 01:40:00,arm,175
2008-04-13 01:47:00,bbmle,176
2008-04-15 08:56:00,bce,177
2008-04-18 10:35:00,rgrs,178
2008-04-18 14:10:00,spatialkernel,179
2008-04-18 14:27:00,sae,180
2008-04-20 21:15:00,cocorresp,181
2008-04-22 11:08:00,spdep,182
2008-04-22 15:05:00,roxygen,183
2008-04-24 06:24:00,rmodest,184
2008-04-25 21:38:00,iha,185
2008-04-30 14:35:00,rdynamic,186
2008-05-07 19:14:00,mi-dev,187
2008-05-10 21:19:00,r2jags,188
2008-05-14 19:55:00,mixstock,189
2008-05-14 19:58:00,rootsolve,190
2008-05-15 10:05:00,devnet,191
2008-05-17 11:25:00,pastecs,192
2008-05-24 19:19:00,pdf2,193
2008-05-26 18:41:00,sciviews,194
2008-05-27 10:53:00,sedar,195
2008-05-28 20:47:00,opentick,196
2008-05-29 13:57:00,ade4tkgui,197
2008-06-01 03:09:00,desirability,198
2008-06-04 14:34:00,ade4,199
2008-06-05 21:31:00,caret,200
2008-06-14 15:52:00,blupsurv,201
2008-06-18 11:21:00,r-solaris,202
2008-06-18 12:00:00,blockmodeling,203
2008-06-25 21:02:00,rlsf,204
2008-07-02 23:02:00,ztricks,205
2008-07-03 03:45:00,nada,206
2008-07-03 03:47:00,glpk,207
2008-07-03 11:20:00,animation,208
2008-07-08 12:13:00,rhugin,209
2008-07-15 11:49:00,sensitivity,210
2008-07-16 04:40:00,arvore,211
2008-07-16 19:35:00,bpca,212
2008-07-17 05:57:00,rmesquite,213
2008-07-17 23:57:00,pomp,214
2008-07-21 05:12:00,pack,215
2008-07-21 15:40:00,ouch,216
2008-07-21 17:49:00,tinnr,217
2008-07-23 23:21:00,treevo,218
2008-07-24 06:32:00,armlite,219
2008-07-28 11:03:00,seqinr,220
2008-07-29 00:29:00,rcppbind,221
2008-07-29 18:49:00,grho,222
2008-07-30 15:37:00,operators,223
2008-07-30 15:39:00,r4x,224
2008-07-31 13:52:00,biplotgui,225
2008-08-01 07:30:00,phylohelper,226
2008-08-03 16:13:00,apt,227
2008-08-04 07:27:00,rcplex,228
2008-08-05 07:47:00,rcsi,229
2008-08-11 16:20:00,survival,230
2008-08-11 16:50:00,lim,231
2008-08-11 22:05:00,latticeextra,232
2008-08-16 15:40:00,sweavesearch,233
2008-08-16 15:50:00,rgl,234
2008-08-18 11:04:00,rsitesearch,235
2008-08-18 12:22:00,romp,236
2008-08-18 15:35:00,dma,237
2008-08-19 22:02:00,irt,238
2008-08-21 13:49:00,orcme,239
2008-08-27 05:37:00,datatable,240
2008-08-31 15:07:00,gsdesign,241
2008-09-01 10:47:00,systemfit,242
2008-09-02 01:22:00,rgraph6,243
2008-09-02 20:43:00,sem-additions,244
2008-09-06 22:05:00,sem,245
2008-09-11 21:33:00,cran2deb,247
2008-09-12 12:50:00,reactran,248
2008-09-13 05:08:00,r-gis,249
2008-09-15 15:09:00,sda,250
2008-09-16 17:34:00,localdepth,251
2008-09-16 20:15:00,aeg,252
2008-09-18 13:23:00,arf,253
2008-09-18 15:24:00,maxlik,254
2008-09-18 18:40:00,rcmdr,255
2008-09-19 11:08:00,sampleselection,256
2008-09-19 11:13:00,micecon,257
2008-09-20 01:16:00,diagnosismed,258
2008-09-21 00:16:00,effects,259
2008-09-29 06:59:00,myrrh,260
2008-09-30 13:39:00,partykit,261
2008-09-30 15:23:00,intervals,262
2008-10-02 21:05:00,corrbin,263
2008-10-03 10:07:00,simsalabim,264
2008-10-04 13:03:00,spatialextremes,265
2008-10-07 14:38:00,paleophylo,266
2008-10-07 16:09:00,marelac,267
2008-10-09 19:22:00,qpcr,269
2008-10-09 23:19:00,grasp,270
2008-10-10 10:07:00,geonames,271
2008-10-12 10:58:00,imagemap,272
2008-10-14 09:12:00,archetypes,273
2008-10-14 20:07:00,joiner,274
2008-10-19 22:27:00,frontier,275
2008-10-20 03:49:00,rib,276
2008-10-20 17:08:00,stpp,277
2008-10-21 15:13:00,regr,278
2008-10-21 20:45:00,polycor,280
2008-10-21 21:34:00,fingerprint,281
2008-10-22 15:16:00,glmmbugs,282
2008-10-22 22:11:00,aix,283
2008-10-24 11:56:00,aquaenv,284
2008-10-24 23:07:00,rcdk,285
2008-10-24 23:11:00,rcdklibs,286
2008-10-28 14:13:00,nlcv,288
2008-10-30 15:30:00,coxflexboost,289
2008-10-30 21:44:00,hepi,290
2008-10-31 07:39:00,ssa,291
2008-11-01 11:45:00,rbestfit,292
2008-11-01 20:22:00,candisc,293
2008-11-02 06:32:00,raster,294
2008-11-03 22:51:00,riskassessment,295
2008-11-04 02:50:00,gdistance,296
2008-11-04 23:00:00,spd,297
2008-11-07 14:06:00,zipfr,298
2008-11-07 19:22:00,collocations,299
2008-11-07 20:39:00,mattice,300
2008-11-09 22:42:00,rpubchem,301
2008-11-13 09:31:00,biomod,302
2008-11-18 16:35:00,adephylo,303
2008-11-20 04:06:00,tsdbi,304
2008-11-23 02:26:00,rllvm,305
2008-11-25 12:36:00,roi,308
2008-11-27 17:01:00,dfdb-rodbc,310
2008-12-01 03:03:00,doe,311
2008-12-02 17:49:00,diseasemapping,312
2008-12-06 21:08:00,rcmdrsurvplugin,313
2008-12-07 22:47:00,pmoments,314
2008-12-08 19:53:00,ucminf,315
2008-12-09 04:28:00,blotter,316
2008-12-10 15:42:00,fme,317
2008-12-10 15:47:00,flr,318
2008-12-10 20:42:00,netomography,319
2008-12-12 12:07:00,cardidates,320
2008-12-13 07:31:00,wmtsa,321
2008-12-14 02:13:00,optimphase2,322
2008-12-16 08:53:00,benchmark,323
2008-12-17 12:49:00,formula,324
2008-12-24 10:50:00,seacarb,325
2008-12-30 14:05:00,quaddisc,326
2008-12-31 23:47:00,random,327
2009-01-04 08:43:00,asrr,328
2009-01-04 13:17:00,yags,329
2009-01-06 12:54:00,prefmod,330
2009-01-12 01:54:00,pgfsweave,331
2009-01-15 15:06:00,splits,333
2009-01-19 08:50:00,autograph,334
2009-01-21 12:13:00,cropsim,335
2009-01-22 12:31:00,gogarch,336
2009-01-22 17:44:00,sparselda,337
2009-01-23 17:24:00,vcdextra,338
2009-01-24 12:14:00,rgarch,339
2009-01-26 01:50:00,contrast,340
2009-01-26 01:56:00,odfweave,341
2009-01-26 10:10:00,diagram,342
2009-01-28 10:10:00,chaid,343
2009-01-28 10:16:00,tm,344
2009-01-29 13:33:00,econmisc,345
2009-01-30 15:25:00,mumin,346
2009-02-01 23:16:00,piface,347
2009-02-02 16:30:00,geograph,348
2009-02-02 20:59:00,matrixstats,349
2009-02-03 08:30:00,spdep2,350
2009-02-06 17:02:00,vcd,351
2009-02-06 18:34:00,splm,352
2009-02-07 08:14:00,remotesensing,353
2009-02-08 23:38:00,rinside,354
2009-02-14 12:04:00,distributions,356
2009-02-17 07:53:00,earthmovdist,357
2009-02-18 09:49:00,ordijuice,358
2009-02-18 10:38:00,labeltodendro,359
2009-02-18 11:01:00,bclust,360
2009-02-18 14:26:00,bgpe,361
2009-02-18 15:57:00,zooimage,362
2009-02-20 00:41:00,methcomp,364
2009-02-23 07:54:00,rodbcext,365
2009-02-23 10:27:00,hyperspec,366
2009-02-24 12:54:00,nlstools,367
2009-02-26 07:22:00,qrdecupdate,368
2009-02-26 18:20:00,waveslim,369
2009-02-27 12:24:00,clustddist,370
2009-02-28 13:21:00,uhcluster,371
2009-03-03 14:13:00,quantlab,373
2009-03-06 12:39:00,ggplot-add-ons,375
2009-03-06 18:29:00,langid,376
2009-03-09 00:28:00,diagnosis,377
2009-03-09 21:45:00,gstat,378
2009-03-10 23:54:00,past,379
2009-03-12 03:39:00,writexls,381
2009-03-12 11:28:00,fresh,382
2009-03-13 11:45:00,bioturbation,383
2009-03-16 20:33:00,highlight,384
2009-03-17 03:00:00,catsim,385
2009-03-19 08:42:00,rmpfr,386
2009-03-19 15:46:00,hadoopstreaming,387
2009-03-25 09:04:00,animal,388
2009-03-27 20:03:00,yhat,389
2009-04-01 23:59:00,engrexpt,390
2009-04-04 10:57:00,fun,391
2009-04-06 16:06:00,spsextante,392
2009-04-07 00:22:00,fselector,393
2009-04-07 23:04:00,optimizer,395
2009-04-11 17:07:00,recommenderlab,397
2009-04-11 17:09:00,remm,398
2009-04-15 11:02:00,rcolony,399
2009-04-15 13:45:00,bvpsolve,400
2009-04-16 17:40:00,pan,401
2009-04-17 17:10:00,forensim,402
2009-04-18 19:35:00,rgospiro,403
2009-04-21 08:59:00,r2html,405
2009-04-21 12:17:00,plm,406
2009-04-23 14:22:00,rregarch,407
2009-04-23 23:24:00,pcs,408
2009-04-24 17:43:00,rhadoop,409
2009-04-24 17:56:00,profdpm,410
2009-04-26 22:49:00,r-hydro,411
2009-04-27 16:50:00,subplex,412
2009-04-28 09:35:00,mlogit,413
2009-04-28 09:36:00,rlogit,414
2009-04-28 09:37:00,truncreg,415
2009-04-28 09:40:00,mhurdle,416
2009-04-28 22:04:00,orgmassspecr,417
2009-04-29 13:59:00,tripler,418
2009-04-30 12:41:00,ices-frs,419
2009-04-30 15:35:00,metlab,420
2009-05-07 01:56:00,rjemm,421
2009-05-08 12:01:00,hab-bathy,422
2009-05-08 12:12:00,seurat,423
2009-05-08 23:57:00,gsmoothr,424
2009-05-10 12:31:00,catkgui,425
2009-05-18 12:18:00,colbycol,426
2009-05-18 14:23:00,rniftilib,427
2009-05-19 21:59:00,r-dots,428
2009-05-19 22:01:00,aroma-dots,429
2009-05-21 03:17:00,spida,430
2009-05-21 03:30:00,p3d,431
2009-05-21 16:42:00,swale,432
2009-05-22 19:05:00,mpcbs,433
2009-05-22 20:34:00,inla,434
2009-05-26 15:14:00,colourscheme,435
2009-05-27 15:22:00,rwave,436
2009-05-29 17:15:00,mcp,437
2009-05-29 23:29:00,dicom,439
2009-06-01 01:42:00,tikzdevice,440
2009-06-01 10:03:00,spotfire,441
2009-06-01 16:01:00,rsap,442
2009-06-02 18:27:00,gbm,443
2009-06-03 14:34:00,plspm,444
2009-06-05 02:29:00,haarseg,445
2009-06-08 14:06:00,mdp,446
2009-06-08 17:14:00,hlogit,447
2009-06-09 09:53:00,toxwebs,448
2009-06-10 17:09:00,enquirer,449
2009-06-15 07:52:00,rimagej,451
2009-06-17 17:51:00,rgmaps,452
2009-06-17 18:54:00,roottreetor,453
2009-06-18 21:43:00,qtinterfaces,454
2009-06-19 11:14:00,sublogo,455
2009-06-22 16:22:00,drm,456
2009-06-22 16:33:00,sbr,457
2009-06-22 16:55:00,corrplot,458
2009-06-23 13:36:00,primprod,459
2009-06-25 13:56:00,mstoolkit,460
2009-06-25 18:46:00,rsiena,461
2009-06-27 00:51:00,adgoftest,462
2009-06-27 09:12:00,mframe,463
2009-06-27 17:16:00,piutils,464
2009-06-30 17:23:00,fdiversity,465
2009-07-01 09:06:00,sde,466
2009-07-02 02:56:00,xpos-r,467
2009-07-03 09:31:00,wrs,468
2009-07-06 17:42:00,jhlir,469
2009-07-07 05:54:00,cgsea,470
2009-07-07 09:09:00,gamesnws,471
2009-07-07 21:40:00,rberkeley,472
2009-07-08 14:32:00,openair,473
2009-07-09 09:22:00,vennerable,474
2009-07-09 20:48:00,tradesys,475
2009-07-10 20:28:00,ambur,476
2009-07-11 15:25:00,sphet,477
2009-07-13 17:11:00,pems,478
2009-07-14 08:02:00,iforest,479
2009-07-17 09:56:00,dimmeta,480
2009-07-17 14:58:00,directlabels,481
2009-07-17 17:53:00,deffbinary,482
2009-07-19 12:21:00,ff,483
2009-07-21 05:47:00,me-integrate,484
2009-07-22 19:50:00,lspm,485
2009-07-22 21:43:00,optparse,486
2009-07-23 01:58:00,zelig,487
2009-07-23 22:17:00,sapa,488
2009-07-23 22:59:00,fractal,489
2009-07-23 23:05:00,splus2r,490
2009-07-23 23:10:00,ifultools,491
2009-07-24 00:37:00,pscn,492
2009-07-26 17:06:00,yield-curve,493
2009-07-27 14:23:00,mlr,494
2009-07-28 15:21:00,neuroim,495
2009-07-29 14:37:00,inlinedocs,496
2009-07-30 19:27:00,nicholsonppp,498
2009-08-05 12:50:00,rserlang,499
2009-08-05 14:00:00,eeg,500
2009-08-05 20:20:00,aedatamanage,501
2009-08-06 17:29:00,webmaps,502
2009-08-06 18:39:00,remoterengine,503
2009-08-07 13:25:00,orchestra,504
2009-08-12 19:07:00,genabel,505
2009-08-17 14:39:00,gridextra,506
2009-08-17 18:25:00,dcr,507
2009-08-18 19:36:00,blockr,508
2009-08-20 13:38:00,osc,509
2009-08-21 14:45:00,lhs,510
2009-08-22 11:52:00,modelfree,511
2009-08-24 02:41:00,gmpm,512
2009-08-25 00:25:00,dr,513
2009-08-25 14:11:00,mmsar,514
2009-08-26 17:57:00,futils,515
2009-08-26 20:03:00,tourr,516
2009-08-27 12:06:00,mcs,517
2009-08-28 09:03:00,a4,518
2009-08-28 20:53:00,rgoogledata,519
2009-08-29 21:31:00,satin,520
2009-08-31 23:00:00,hellojavaworld,521
2009-09-02 16:50:00,countreg,522
2009-09-03 07:11:00,epinetics,523
2009-09-03 16:03:00,gmm,524
2009-09-06 16:08:00,uroot,525
2009-09-06 16:09:00,partsm,526
2009-09-08 15:22:00,lava,527
2009-09-09 14:17:00,rgmdh,528
2009-09-10 11:15:00,msvm4r,529
2009-09-10 13:49:00,lsmeans,530
2009-09-11 21:19:00,car,531
2009-09-13 15:14:00,hybridmc,532
2009-09-14 05:28:00,bfast,533
2009-09-14 13:32:00,trip123,534
2009-09-14 15:01:00,randomforest,535
2009-09-14 21:33:00,chemospec,536
2009-09-17 02:13:00,gtdb,537
2009-09-17 19:38:00,rns3,538
2009-09-18 01:28:00,srs,539
2009-09-20 17:51:00,rboinc,540
2009-09-21 08:36:00,testcpp,542
2009-09-21 12:03:00,ewc,543
2009-09-21 16:11:00,mrp,544
2009-09-22 07:35:00,dream,545
2009-09-23 12:25:00,bfp,546
2009-09-24 07:04:00,swfdevice,547
2009-09-25 16:45:00,wmcapacity,548
2009-09-26 17:38:00,spt,549
2009-09-28 03:11:00,pushgp-r,550
2009-09-28 13:24:00,yuima,551
2009-09-29 07:19:00,rqtlnetwork,552
2009-09-29 13:02:00,bigplot,553
2009-09-29 16:02:00,bayesfactorpcl,554
2009-09-30 10:51:00,regdevelop,555
2009-09-30 19:27:00,bigmemory,556
2009-10-01 16:18:00,speedglm,557
2009-10-02 09:07:00,hglm,558
2009-10-06 11:09:00,gvar,559
2009-10-07 21:54:00,mcibd,560
2009-10-08 16:16:00,plsdof,561
2009-10-08 22:58:00,rfrench,562
2009-10-09 11:57:00,rvgtest,563
2009-10-11 07:27:00,geosphere,564
2009-10-12 04:27:00,mmsa,565
2009-10-14 23:55:00,btspas,566
2009-10-15 20:33:00,ecopd,567
2009-10-16 17:33:00,arulesviz,568
2009-10-16 21:34:00,mstate,569
2009-10-16 23:31:00,selectivity,570
2009-10-17 20:57:00,guerry,571
2009-10-18 15:58:00,sgp,572
2009-10-20 03:21:00,abo,573
2009-10-20 15:31:00,histdata,574
2009-10-21 22:12:00,teachingdemos,575
2009-10-22 05:18:00,rprotobuf,576
2009-10-22 11:53:00,africa,577
2009-10-22 19:20:00,divemove,578
2009-10-23 23:42:00,returnanalytics,579
2009-10-24 12:52:00,snatm,580
2009-10-26 11:18:00,globalboosttest,581
2009-10-28 15:53:00,lossdev,582
2009-10-29 11:41:00,snadata,583
2009-10-30 06:05:00,sleuth2,585
2009-10-31 21:36:00,dompi,586
2009-11-02 13:20:00,snpsprocessing,587
2009-11-03 12:00:00,seiv,588
2009-11-04 10:16:00,isogenegui,589
2009-11-05 04:55:00,aqp,590
2009-11-05 23:19:00,binom,591
2009-11-06 13:57:00,qfin,592
2009-11-07 17:56:00,esm,593
2009-11-09 19:48:00,scian,594
2009-11-09 21:06:00,ica4fts,598
2009-11-09 22:25:00,mice,599
2009-11-10 11:24:00,nacopula,600
2009-11-10 17:58:00,rql,601
2009-11-11 11:55:00,rgeos,602
2009-11-15 19:02:00,cvr,604
2009-11-17 12:37:00,rwrf,605
2009-11-19 05:21:00,r2admb,606
2009-11-20 10:49:00,preprisa,607
2009-11-20 17:56:00,sprint,608
2009-11-20 18:15:00,morton,609
2009-11-25 10:17:00,specfun,611
2009-11-26 05:02:00,polysegratio,612
2009-11-30 02:43:00,season,613
2009-11-30 10:36:00,calibayesr,614
2009-11-30 16:56:00,kinfit,615
2009-12-01 04:34:00,control,616
2009-12-02 14:49:00,wikirobot,617
2009-12-02 23:44:00,wzd,618
2009-12-03 17:50:00,signal,619
2009-12-04 02:08:00,abd,621
2009-12-04 19:34:00,glucpack,622
2009-12-07 08:49:00,dismo,623
2009-12-07 18:28:00,pcalg,624
2009-12-08 19:22:00,charm,625
2009-12-09 02:08:00,sqn,626
2009-12-09 22:28:00,mogcovreg,627
2009-12-10 00:14:00,seraphim,628
2009-12-10 20:45:00,fishgraph,629
2009-12-14 04:20:00,deconwk,630
2009-12-14 04:47:00,smatr3,631
2009-12-15 13:37:00,basisr,633
2009-12-15 13:39:00,sbmlmodels,634
2009-12-15 21:42:00,cshapes,635
2009-12-16 18:11:00,fmrireg,636
2009-12-17 02:56:00,xlsx,637
2009-12-21 06:40:00,lattice,638
2009-12-21 20:59:00,cpp,639
2009-12-25 17:29:00,linprog,640
2009-12-27 23:10:00,inline,641
2009-12-28 10:49:00,drawexpression,642
2009-12-29 00:04:00,itertools,643
2009-12-29 02:44:00,bcvars,644
2009-12-31 03:55:00,gapanalysis,645
2010-01-02 03:59:00,jnt,646
2010-01-05 12:59:00,hafrodb,647
2010-01-07 06:32:00,indexing,648
2010-01-07 15:13:00,nmf,649
2010-01-08 11:31:00,lazymlva,650
2010-01-08 17:59:00,genoplotr,651
2010-01-09 06:43:00,mcmcpanel,652
2010-01-10 17:39:00,fisheyer,653
2010-01-11 11:17:00,gsymbols,654
2010-01-12 22:52:00,pfda,655
2010-01-13 06:44:00,isu,656
2010-01-14 15:22:00,tableplot,659
2010-01-14 16:01:00,annotationdbix,660
2010-01-14 23:27:00,invbingroup,661
2010-01-15 01:09:00,fakeplace,662
2010-01-15 01:39:00,charmdata,663
2010-01-15 20:26:00,lambertw,664
2010-01-18 11:18:00,rigorous,665
2010-01-20 07:13:00,mfr,666
2010-01-20 07:53:00,bayespanel,667
2010-01-20 11:23:00,reefree,668
2010-01-20 23:05:00,vs2010,669
2010-01-21 12:29:00,tides,670
2010-01-21 15:21:00,ipred,671
2010-01-22 16:47:00,logging,672
2010-01-24 15:10:00,rsparql,673
2010-01-27 04:47:00,dnatools,674
2010-01-28 10:50:00,extremalproc,675
2010-01-29 20:10:00,osplinebasis,676
2010-01-31 23:41:00,gcur,677
2010-02-03 15:14:00,sempls,678
2010-02-05 09:24:00,qtlnetworkr,679
2010-02-07 06:12:00,pdnimblegen,680
2010-02-07 21:35:00,asur,681
2010-02-08 08:30:00,hgam,682
2010-02-08 17:57:00,comprandfld,683
2010-02-09 04:43:00,tonalhierarchy,687
2010-02-09 16:03:00,uarraydatasets,688
2010-02-10 01:04:00,rann,689
2010-02-10 02:05:00,elemstatlearn,690
2010-02-11 13:32:00,mutoss,691
2010-02-15 13:22:00,ballisticaccum,692
2010-02-16 05:28:00,mplusautomation,693
2010-02-16 07:25:00,jacobi,694
2010-02-17 14:06:00,gsrmtp,695
2010-02-17 16:56:00,mareymap,696
2010-02-17 22:58:00,sdmtools,697
2010-02-19 16:44:00,functional,698
2010-02-19 16:52:00,lisp,699
2010-02-21 19:24:00,sasim,700
2010-02-24 10:24:00,rflptools,701
2010-02-25 07:26:00,seqcnvcbs,702
2010-02-26 17:18:00,calmat,703
2010-02-26 23:13:00,manu,704
2010-03-03 15:30:00,acspkg,705
2010-03-03 15:57:00,geoxp,706
2010-03-04 10:07:00,tcap,707
2010-03-04 15:23:00,orddata,708
2010-03-04 15:53:00,mapoland,709
2010-03-05 11:51:00,synbreed,710
2010-03-05 17:39:00,surdes,711
2010-03-05 23:59:00,hergm,712
2010-03-06 01:28:00,luck,713
2010-03-08 09:32:00,scmsvn,714
2010-03-09 09:17:00,sigil,715
2010-03-10 10:59:00,repitools,716
2010-03-10 11:45:00,pks,717
2010-03-13 17:17:00,pwrgsd,720
2010-03-16 12:36:00,recordlinkage,721
2010-03-16 21:38:00,alr3,722
2010-03-17 15:36:00,aurelhy,723
2010-03-21 03:01:00,pi0,724
2010-03-21 14:58:00,rprocessing,725
2010-03-22 19:42:00,pnl,726
2010-03-24 10:08:00,kml3d,727
